V1	V2
ENSFHEG00000000002	GO:0030533;GO:0006412
ENSFHEG00000000004	GO:0030533;GO:0006412
ENSFHEG00000000005	GO:0003735;GO:0005840
ENSFHEG00000000006	GO:0030533;GO:0006412
ENSFHEG00000000007	GO:0016020;GO:0005739;GO:0005743;GO:1902600;GO:0008137
ENSFHEG00000000008	GO:0030533;GO:0006412
ENSFHEG00000000009	GO:0030533;GO:0006412
ENSFHEG00000000010	GO:0030533;GO:0006412
ENSFHEG00000000011	GO:0005739;GO:0005743;GO:0006120;GO:1902600;GO:0008137
ENSFHEG00000000012	GO:0030533;GO:0006412
ENSFHEG00000000013	GO:0030533;GO:0006412
ENSFHEG00000000015	GO:0030533;GO:0006412
ENSFHEG00000000016	GO:0030533;GO:0006412
ENSFHEG00000000017	GO:0015990;GO:0004129;GO:0006123;GO:0046872;GO:0016020;GO:0005739;GO:0020037;GO:0005743;GO:0006119;GO:0009060;GO:0045277
ENSFHEG00000000018	GO:0030533;GO:0006412
ENSFHEG00000000019	GO:0030533;GO:0006412
ENSFHEG00000000020	GO:0046872;GO:0016020;GO:0005739;GO:0005743;GO:0005507;GO:0022900;GO:1902600;GO:0004129
ENSFHEG00000000021	GO:0030533;GO:0006412
ENSFHEG00000000022	GO:0005739;GO:0031966;GO:0006754;GO:0015986;GO:0015078;GO:0045263;GO:1902600
ENSFHEG00000000023	GO:0046933;GO:0015986;GO:0016020;GO:0005739;GO:0005743;GO:0006754;GO:0015078;GO:0045263;GO:1902600
ENSFHEG00000000024	GO:0016020;GO:0005739;GO:1902600;GO:0004129;GO:0019646
ENSFHEG00000000025	GO:0030533;GO:0006412
ENSFHEG00000000026	GO:0016020;GO:0005739;GO:0031966;GO:1902600;GO:0008137
ENSFHEG00000000027	GO:0030533;GO:0006412
ENSFHEG00000000028	GO:0005739;GO:0005743;GO:0016651;GO:1902600;GO:0042773;GO:0008137
ENSFHEG00000000029	GO:0016020;GO:0005739;GO:0031966;GO:1902600;GO:0008137;GO:0042773
ENSFHEG00000000030	GO:0030533;GO:0006412
ENSFHEG00000000032	GO:0030533;GO:0006412
ENSFHEG00000000033	GO:0016020;GO:0005739;GO:0005743;GO:1902600;GO:0008137;GO:0042773
ENSFHEG00000000034	GO:0016020;GO:0005739;GO:0031966;GO:1902600;GO:0008137
ENSFHEG00000000035	GO:0030533;GO:0006412
ENSFHEG00000000036	GO:0022900;GO:0046872;GO:0016020;GO:0005739;GO:0016491;GO:0005743;GO:0008121;GO:1902600;GO:0022904;GO:0045275
ENSFHEG00000000037	GO:0030533;GO:0006412
ENSFHEG00000000038	GO:0030533;GO:0006412
ENSFHEG00000000039	GO:0046872;GO:0016020;GO:0007165;GO:0006955;GO:0005164;GO:0005125;GO:0005615
